step,time_s,theta_raw,omega_raw,theta_corrected,omega_corrected,top_error,u_policy_raw,u_signed,u_clipped,u_safe,u_commanded,raw_reward
52.0,1.3,0.1319468915462494,-0.8061104416847229,0.1319468915462494,-0.8061104416847229,-3.0096457620435437,3.0,3.0,3.0,1.0600000000000005,1.0600000000000005,-0.9916223013502533
53.0,1.3250000000000002,0.1319468915462494,0.4178188741207123,0.1319468915462494,0.4178188741207123,-3.0096457620435437,3.0,3.0,3.0,1.0800000000000005,1.0800000000000005,-0.9915842883181022
54.0,1.35,0.1319468915462494,1.0778728723526,0.1319468915462494,1.0778728723526,-3.0096457620435437,3.0,3.0,3.0,1.1000000000000005,1.1000000000000005,-0.9916927009387293
55.0,1.375,0.1319468915462494,0.4178188741207123,0.1319468915462494,0.4178188741207123,-3.0096457620435437,3.0,3.0,3.0,1.1200000000000006,1.1200000000000006,-0.9916038438736577
56.0,1.4000000000000001,0.1319468915462494,1.0260539054870605,0.1319468915462494,1.0260539054870605,-3.0096457620435437,3.0,3.0,3.0,1.1400000000000006,1.1400000000000006,-0.9917017097186416
57.0,1.425,0.1319468915462494,0.5860178470611572,0.1319468915462494,0.5860178470611572,-3.0096457620435437,3.0,3.0,3.0,1.1600000000000006,1.1600000000000006,-0.9916409949708748
58.0,1.4500000000000002,0.1319468915462494,1.0260539054870605,0.1319468915462494,1.0260539054870605,-3.0096457620435437,3.0,3.0,3.0,1.1800000000000006,1.1800000000000006,-0.9917223319408638
59.0,1.475,0.1319468915462494,2.0299651622772217,0.1319468915462494,2.0299651622772217,-3.0096457620435437,3.0,3.0,3.0,1.2000000000000006,1.2000000000000006,-0.992039706912951
60.0,1.5,0.1319468915462494,0.6580380201339722,0.1319468915462494,0.6580380201339722,-3.0096457620435437,3.0,3.0,3.0,1.2200000000000006,1.2200000000000006,-0.9916816880160948
61.0,1.5250000000000001,0.1350884884595871,1.9781460762023926,0.1350884884595871,1.9781460762023926,-3.006504165130206,3.0,3.0,3.0,1.2400000000000007,1.2400000000000007,-0.991622412714554
62.0,1.55,0.1350884884595871,1.3180921077728271,0.1350884884595871,1.3180921077728271,-3.006504165130206,3.0,3.0,3.0,1.2600000000000007,1.2600000000000007,-0.991415954316243
63.0,1.5750000000000002,0.1382300704717636,-0.5658913254737854,0.1382300704717636,-0.5658913254737854,-3.0033625831180295,3.0,3.0,3.0,1.2800000000000007,1.2800000000000007,-0.9908575387509403
64.0,1.6,0.14451326429843903,2.270184278488159,0.14451326429843903,2.270184278488159,-2.997079389291354,3.0,3.0,3.0,1.3000000000000007,1.3000000000000007,-0.9904670475024154
65.0,1.625,0.15079644322395325,3.8103103637695312,0.15079644322395325,3.8103103637695312,-2.99079621036584,3.0,3.0,3.0,1.3200000000000007,1.3200000000000007,-0.9904907918679283
66.0,1.6500000000000001,0.15707963705062866,3.8103103637695312,0.15707963705062866,3.8103103637695312,-2.9845130165391645,3.0,3.0,3.0,1.3400000000000007,1.3400000000000007,-0.989539208640388
67.0,1.675,0.1665044128894806,0.8262369632720947,0.1665044128894806,0.8262369632720947,-2.9750882407003125,3.0,3.0,3.0,1.3600000000000008,1.3600000000000008,-0.9866494248303815
68.0,1.7000000000000002,0.17592918872833252,2.21836519241333,0.17592918872833252,2.21836519241333,-2.9656634648614606,3.0,3.0,3.0,1.3800000000000008,1.3800000000000008,-0.9854796489196153
69.0,1.725,0.18535396456718445,0.6782391667366028,0.18535396456718445,0.6782391667366028,-2.9562386890226087,3.0,3.0,3.0,1.4000000000000008,1.4000000000000008,-0.9833526348922604
70.0,1.75,0.19792033731937408,3.8823306560516357,0.19792033731937408,3.8823306560516357,-2.943672316270419,3.0,3.0,3.0,1.4200000000000008,1.4200000000000008,-0.9824329613659643
71.0,1.7750000000000001,0.21048671007156372,2.6584012508392334,0.21048671007156372,2.6584012508392334,-2.9311059435182294,3.0,3.0,3.0,1.4400000000000008,1.4400000000000008,-0.9790968490751755
72.0,1.8,0.21991148591041565,1.338293194770813,0.21991148591041565,1.338293194770813,-2.9216811676793775,3.0,3.0,3.0,1.4600000000000009,1.4600000000000009,-0.9765695536604401
73.0,1.8250000000000002,0.22619466483592987,0.4582211375236511,0.22619466483592987,0.4582211375236511,-2.9153979887538632,3.0,3.0,3.0,1.4800000000000009,1.4800000000000009,-0.9750346263987527
74.0,1.85,0.23247785866260529,1.338293194770813,0.23247785866260529,1.338293194770813,-2.909114794927188,3.0,3.0,3.0,1.5000000000000009,1.5000000000000009,-0.9737776133204481
75.0,1.875,0.235619455575943,0.8982571959495544,0.235619455575943,0.8982571959495544,-2.90597319801385,3.0,3.0,3.0,1.520000000000001,1.520000000000001,-0.9729640276882731
76.0,1.9000000000000001,0.235619455575943,1.1902953386306763,0.235619455575943,1.1902953386306763,-2.90597319801385,3.0,3.0,3.0,1.540000000000001,1.540000000000001,-0.9730386213885822
77.0,1.925,0.235619455575943,0.9702773690223694,0.235619455575943,0.9702773690223694,-2.90597319801385,3.0,3.0,3.0,1.560000000000001,1.560000000000001,-0.9730048626843271
78.0,1.9500000000000002,0.235619455575943,2.0703673362731934,0.235619455575943,2.0703673362731934,-2.90597319801385,3.0,3.0,3.0,1.580000000000001,1.580000000000001,-0.9733533165133096
79.0,1.975,0.235619455575943,1.410313367843628,0.235619455575943,1.410313367843628,-2.90597319801385,3.0,3.0,3.0,1.600000000000001,1.600000000000001,-0.9731377061354841
80.0,2.0,0.235619455575943,0.47842225432395935,0.235619455575943,0.47842225432395935,-2.90597319801385,3.0,3.0,3.0,1.620000000000001,1.620000000000001,-0.9729760076523867
81.0,2.025,0.235619455575943,0.9184582829475403,0.235619455575943,0.9184582829475403,-2.90597319801385,3.0,3.0,3.0,1.640000000000001,1.640000000000001,-0.9730519643176838
82.0,2.0500000000000003,0.235619455575943,1.3584942817687988,0.235619455575943,1.3584942817687988,-2.90597319801385,3.0,3.0,3.0,1.660000000000001,1.660000000000001,-0.9731668250939588
83.0,2.075,0.235619455575943,2.2385663986206055,0.235619455575943,2.2385663986206055,-2.90597319801385,3.0,3.0,3.0,1.680000000000001,1.680000000000001,-0.9734982368191467
84.0,2.1,0.235619455575943,2.31058669090271,0.235619455575943,2.31058669090271,-2.90597319801385,3.0,3.0,3.0,1.700000000000001,1.700000000000001,-0.9735460221748833
85.0,2.125,0.2387610375881195,1.870550513267517,0.2387610375881195,1.870550513267517,-2.9028316160016736,3.0,3.0,3.0,1.720000000000001,1.720000000000001,-0.9726390520251932
86.0,2.15,0.2387610375881195,1.6505324840545654,0.2387610375881195,1.6505324840545654,-2.9028316160016736,3.0,3.0,3.0,1.740000000000001,1.740000000000001,-0.9725769596287944
87.0,2.1750000000000003,0.24190263450145721,1.1586774587631226,0.24190263450145721,1.1586774587631226,-2.899690019088336,3.0,3.0,3.0,1.7600000000000011,1.7600000000000011,-0.9717065646776994
88.0,2.2,0.24818581342697144,2.1625888347625732,0.24818581342697144,2.1625888347625732,-2.8934068401628217,3.0,3.0,3.0,1.7800000000000011,1.7800000000000011,-0.9705314318639726
89.0,2.225,0.25446900725364685,1.5987135171890259,0.25446900725364685,1.5987135171890259,-2.8871236463361463,3.0,3.0,3.0,1.8000000000000012,1.8000000000000012,-0.9687726882376465
90.0,2.25,0.26075220108032227,2.8226428031921387,0.26075220108032227,2.8226428031921387,-2.880840452509471,3.0,3.0,3.0,1.8200000000000012,1.8200000000000012,-0.9677291486173799
91.0,2.275,0.2701769769191742,-0.3814486861228943,0.2701769769191742,-0.3814486861228943,-2.871415676670619,2.999998092651367,2.999998092651367,2.999998092651367,1.8400000000000012,1.8400000000000012,-0.9644905818307428
92.0,2.3000000000000003,0.2796017527580261,0.7186414003372192,0.2796017527580261,0.7186414003372192,-2.861990900831767,3.0,3.0,3.0,1.8600000000000012,1.8600000000000012,-0.9619858645168229
93.0,2.325,0.28902652859687805,0.05858735367655754,0.28902652859687805,0.05858735367655754,-2.852566124992915,3.0,3.0,3.0,1.8800000000000012,1.8800000000000012,-0.9593075532143273
94.0,2.35,0.29530972242355347,0.49862340092658997,0.29530972242355347,0.49862340092658997,-2.8462829311662396,3.0,3.0,3.0,1.9000000000000012,1.9000000000000012,-0.9575391325312194
95.0,2.375,0.3015928864479065,1.2306976318359375,0.3015928864479065,1.2306976318359375,-2.8399997671418866,3.0,3.0,3.0,1.9200000000000013,1.9200000000000013,-0.9558352088772125
96.0,2.4000000000000004,0.3110176622867584,0.13060754537582397,0.3110176622867584,0.13060754537582397,-2.8305749913030347,2.999997854232788,2.999997854232788,2.999997854232788,1.9400000000000013,1.9400000000000013,-0.952860691522712
97.0,2.4250000000000003,0.3141592741012573,1.8907517194747925,0.3141592741012573,1.8907517194747925,-2.827433379488536,3.0,3.0,3.0,1.9600000000000013,1.9600000000000013,-0.9522676966889997
98.0,2.45,0.32044243812561035,0.7906615734100342,0.32044243812561035,0.7906615734100342,-2.8211502154641828,3.0,3.0,3.0,1.9800000000000013,1.9800000000000013,-0.9500298635127649
99.0,2.475,0.32358404994010925,1.9627718925476074,0.32358404994010925,1.9627718925476074,-2.818008603649684,3.0,3.0,3.0,2.0000000000000013,2.0000000000000013,-0.9493760378180847
100.0,2.5,0.32672563195228577,0.9588605761528015,0.32672563195228577,0.9588605761528015,-2.8148670216375073,3.0,3.0,3.0,2.0200000000000014,2.0200000000000014,-0.948097003201281
101.0,2.5250000000000004,0.32672563195228577,1.9627718925476074,0.32672563195228577,1.9627718925476074,-2.8148670216375073,3.0,3.0,3.0,2.0400000000000014,2.0400000000000014,-0.9484083536354929
